model,question_id,dss,correct_alpha,correct_beta,correct_gamma,correct_answer
gemma3_12b,MQ_0245,0.767,True,False,True,D
gemma3_12b,MQ_0252,0.767,True,False,False,D
gemma3_12b,MQ_0280,0.767,True,False,False,C
gemma3_12b,MQ_0285,0.767,True,False,False,C
gemma3_12b,MQ_0288,0.767,False,False,False,A
gemma3_12b,MQ_0291,0.767,False,True,False,D
gemma3_12b,MQ_0319,0.767,False,True,True,C
gemma3_12b,MQ_0333,0.767,False,True,True,C
gemma3_12b,MQ_0334,0.767,False,False,False,B
gemma3_12b,MQ_0377,0.767,False,False,False,A
gemma3_12b,MQ_0393,0.767,True,True,False,C
gemma3_12b,MQ_0399,0.767,True,True,False,C
gemma3_12b,MQ_0414,0.767,True,False,True,C
gemma3_12b,MQ_0431,0.767,False,False,True,D
gemma3_12b,MQ_0441,0.767,True,True,False,C
gemma3_12b,MQ_0443,0.767,True,True,False,D
gemma3_12b,MQ_0445,0.767,False,False,False,B
gemma3_12b,MQ_0452,0.767,True,True,False,D
gemma3_12b,MQ_0511,0.767,False,True,False,C
gemma3_12b,MQ_0519,0.767,True,True,False,D
gemma3_12b,MQ_0528,0.767,True,False,False,C
gemma3_12b,MQ_0531,0.767,False,False,False,B
gemma3_12b,MQ_0534,0.767,True,False,True,D
gemma3_12b,MQ_0542,0.767,True,False,True,D
gemma3_12b,MQ_0543,0.767,True,False,True,C
gemma3_12b,MQ_0556,0.767,True,False,True,D
gemma3_12b,MQ_0562,0.767,True,False,True,D
gemma3_12b,MQ_0564,0.767,True,True,False,C
gemma3_12b,MQ_0568,0.767,False,True,True,D
gemma3_12b,MQ_0583,0.767,True,False,True,C
gemma3_12b,MQ_0584,0.767,True,False,True,C
gemma3_12b,MQ_0592,0.767,True,True,False,C
gemma3_12b,MQ_0619,0.767,False,True,False,D
gemma3_12b,MQ_0621,0.767,True,False,True,D
gemma3_12b,MQ_0632,0.767,False,False,False,A
gemma3_12b,MQ_0674,0.767,True,True,False,C
gemma3_12b,MQ_0680,0.767,True,True,False,C
gemma3_12b,MQ_0690,0.767,True,True,False,D
gemma3_12b,MQ_0709,0.767,True,True,False,C
gemma3_12b,MQ_0747,0.767,True,False,True,D
gemma3_12b,MQ_0753,0.767,False,True,False,C
gemma3_12b,MQ_0755,0.767,True,False,True,D
gemma3_12b,MQ_0774,0.767,False,False,False,B
gemma3_12b,MQ_0808,0.767,False,False,False,B
gemma3_12b,MQ_0815,0.767,True,True,False,D
gemma3_12b,MQ_0817,0.767,False,True,True,D
gemma3_12b,MQ_0820,0.767,False,False,False,B
gemma3_12b,MQ_0860,0.767,False,True,True,C
gemma3_12b,MQ_0862,0.767,True,False,False,D
gemma3_12b,MQ_0887,0.767,True,False,True,C
gemma3_12b,MQ_0892,0.767,True,False,True,C
gemma3_12b,MQ_0893,0.767,True,False,False,C
gemma3_12b,MQ_0900,0.767,False,True,True,D
gemma3_12b,MQ_0917,0.767,False,False,True,D
gemma3_12b,MQ_0923,0.767,False,True,True,C
gemma3_12b,MQ_0946,0.767,False,True,False,D
gemma3_12b,MQ_0948,0.767,True,False,False,C
gemma3_12b,MQ_0963,0.767,True,False,False,D
gemma3_12b,MQ_0971,0.767,True,False,False,D
gemma3_12b,MQ_0998,0.767,True,False,True,D
gemma3_12b,MQ_0004,0.7883,True,False,True,B
gemma3_12b,MQ_0006,0.7883,False,False,False,C
gemma3_12b,MQ_0045,0.7883,True,False,True,D
gemma3_12b,MQ_0046,0.7883,True,False,False,D
gemma3_12b,MQ_0052,0.7883,False,False,True,D
gemma3_12b,MQ_0054,0.7883,True,False,False,B
gemma3_12b,MQ_0083,0.7883,True,False,False,D
gemma3_12b,MQ_0101,0.7883,False,False,False,C
gemma3_12b,MQ_0109,0.7883,True,False,True,B
gemma3_12b,MQ_0119,0.7883,False,True,False,B
gemma3_12b,MQ_0129,0.7883,True,False,True,D
gemma3_12b,MQ_0155,0.7883,True,False,True,D
gemma3_12b,MQ_0168,0.7883,False,False,False,C
gemma3_12b,MQ_0173,0.7883,False,True,False,B
gemma3_12b,MQ_0185,0.7883,False,True,True,D
gemma3_12b,MQ_0186,0.7883,True,False,False,B
gemma3_12b,MQ_0213,0.7883,True,False,True,D
gemma3_12b,MQ_0221,0.7883,False,True,True,D
gemma3_12b,MQ_0227,0.7883,False,True,True,B
gemma3_12b,MQ_0238,0.7883,True,False,False,D
gemma3_12b,MQ_0259,0.7883,True,False,False,D
gemma3_12b,MQ_0299,0.7883,False,False,False,A
gemma3_12b,MQ_0304,0.7883,False,False,False,A
gemma3_12b,MQ_0326,0.7883,True,True,False,B
gemma3_12b,MQ_0331,0.7883,False,False,False,C
gemma3_12b,MQ_0338,0.7883,True,True,False,B
gemma3_12b,MQ_0343,0.7883,True,False,True,B
gemma3_12b,MQ_0355,0.7883,True,True,False,D
gemma3_12b,MQ_0356,0.7883,True,False,True,B
gemma3_12b,MQ_0371,0.7883,True,True,False,B
gemma3_12b,MQ_0384,0.7883,False,False,False,C
gemma3_12b,MQ_0410,0.7883,True,False,True,B
gemma3_12b,MQ_0412,0.7883,False,False,True,D
gemma3_12b,MQ_0430,0.7883,True,False,True,D
gemma3_12b,MQ_0437,0.7883,False,True,True,B
gemma3_12b,MQ_0447,0.7883,True,False,True,B
gemma3_12b,MQ_0454,0.7883,False,True,False,B
gemma3_12b,MQ_0457,0.7883,True,False,False,D
gemma3_12b,MQ_0458,0.7883,True,False,False,B
gemma3_12b,MQ_0467,0.7883,False,True,False,B
gemma3_12b,MQ_0490,0.7883,False,False,False,A
gemma3_12b,MQ_0503,0.7883,False,False,False,A
gemma3_12b,MQ_0527,0.7883,False,False,False,C
gemma3_12b,MQ_0547,0.7883,False,True,True,B
gemma3_12b,MQ_0590,0.7883,False,False,True,B
gemma3_12b,MQ_0617,0.7883,True,True,False,D
gemma3_12b,MQ_0650,0.7883,True,False,True,D
gemma3_12b,MQ_0657,0.7883,True,False,True,B
gemma3_12b,MQ_0672,0.7883,False,False,True,B
gemma3_12b,MQ_0679,0.7883,True,False,False,D
gemma3_12b,MQ_0683,0.7883,False,False,False,C
gemma3_12b,MQ_0685,0.7883,False,False,False,C
gemma3_12b,MQ_0699,0.7883,False,False,False,A
gemma3_12b,MQ_0712,0.7883,True,False,False,B
gemma3_12b,MQ_0714,0.7883,False,False,False,A
gemma3_12b,MQ_0739,0.7883,True,True,False,B
gemma3_12b,MQ_0806,0.7883,False,False,False,C
gemma3_12b,MQ_0809,0.7883,False,True,True,B
gemma3_12b,MQ_0839,0.7883,True,True,False,B
gemma3_12b,MQ_0840,0.7883,False,False,False,C
gemma3_12b,MQ_0844,0.7883,True,True,False,B
gemma3_12b,MQ_0845,0.7883,False,False,False,C
gemma3_12b,MQ_0857,0.7883,True,False,False,D
gemma3_12b,MQ_0876,0.7883,True,True,False,D
gemma3_12b,MQ_0889,0.7883,True,False,False,D
gemma3_12b,MQ_0925,0.7883,False,False,False,A
gemma3_12b,MQ_0935,0.7883,False,False,False,A
gemma3_12b,MQ_0941,0.7883,True,False,True,D
gemma4_e4b,MQ_0531,0.5942,False,False,False,B
gemma4_e4b,MQ_0536,0.5942,True,False,False,A
gemma4_e4b,MQ_0642,0.5942,False,False,True,C
gemma4_e4b,MQ_0768,0.5942,False,True,False,D
gemma4_e4b,MQ_0833,0.5942,False,True,False,D
gemma4_e4b,MQ_0884,0.5942,False,False,True,C
gemma4_e4b,MQ_0885,0.5942,False,False,True,C
gemma4_e4b,MQ_0943,0.5942,False,False,False,B
gemma4_e4b,MQ_0065,0.6049,True,False,False,B
gemma4_e4b,MQ_0105,0.6049,True,False,False,B
gemma4_e4b,MQ_0116,0.6049,True,False,False,A
gemma4_e4b,MQ_0167,0.6049,True,False,False,D
gemma4_e4b,MQ_0467,0.6049,False,False,True,B
gemma4_e4b,MQ_0542,0.6049,False,False,True,D
gemma4_e4b,MQ_0556,0.6049,True,False,False,D
gemma4_e4b,MQ_0839,0.6049,True,False,False,B
gemma4_e4b,MQ_0928,0.6049,False,False,True,B
gemma4_e4b,MQ_0966,0.6049,False,False,True,A
gemma4_e4b,MQ_0997,0.6049,False,False,True,D
gemma4_e4b,MQ_0018,0.6644,True,True,False,D
gemma4_e4b,MQ_0035,0.6644,True,False,False,A
gemma4_e4b,MQ_0061,0.6644,True,False,True,D
gemma4_e4b,MQ_0085,0.6644,True,False,False,D
gemma4_e4b,MQ_0108,0.6644,True,True,False,D
gemma4_e4b,MQ_0144,0.6644,False,True,False,D
gemma4_e4b,MQ_0169,0.6644,True,False,False,D
gemma4_e4b,MQ_0176,0.6644,True,True,False,A
gemma4_e4b,MQ_0216,0.6644,False,True,False,D
gemma4_e4b,MQ_0262,0.6644,True,False,False,A
gemma4_e4b,MQ_0270,0.6644,False,False,True,A
gemma4_e4b,MQ_0298,0.6644,False,True,True,A
gemma4_e4b,MQ_0302,0.6644,False,True,True,A
gemma4_e4b,MQ_0316,0.6644,False,True,True,A
gemma4_e4b,MQ_0352,0.6644,True,False,True,D
gemma4_e4b,MQ_0399,0.6644,False,False,False,C
gemma4_e4b,MQ_0400,0.6644,True,False,False,A
gemma4_e4b,MQ_0433,0.6644,True,True,False,A
gemma4_e4b,MQ_0478,0.6644,False,True,True,D
gemma4_e4b,MQ_0496,0.6644,False,False,False,B
gemma4_e4b,MQ_0497,0.6644,False,True,False,A
gemma4_e4b,MQ_0506,0.6644,True,True,False,D
gemma4_e4b,MQ_0514,0.6644,True,True,False,A
gemma4_e4b,MQ_0523,0.6644,True,True,False,D
gemma4_e4b,MQ_0563,0.6644,False,False,False,C
gemma4_e4b,MQ_0589,0.6644,True,False,True,A
gemma4_e4b,MQ_0660,0.6644,True,True,False,D
gemma4_e4b,MQ_0676,0.6644,False,False,True,A
gemma4_e4b,MQ_0685,0.6644,False,False,False,C
gemma4_e4b,MQ_0687,0.6644,True,False,True,A
gemma4_e4b,MQ_0725,0.6644,True,False,True,D
gemma4_e4b,MQ_0802,0.6644,False,True,True,D
gemma4_e4b,MQ_0815,0.6644,True,True,False,D
gemma4_e4b,MQ_0827,0.6644,False,True,True,D
gemma4_e4b,MQ_0837,0.6644,False,False,False,B
gemma4_e4b,MQ_0890,0.6644,True,False,True,D
gemma4_e4b,MQ_0896,0.6644,False,False,False,C
gemma4_e4b,MQ_0920,0.6644,True,True,False,A
gemma4_e4b,MQ_0923,0.6644,False,False,False,C
gemma4_e4b,MQ_0926,0.6644,True,True,False,A
gemma4_e4b,MQ_0933,0.6644,False,False,False,C
gemma4_e4b,MQ_0939,0.6644,True,True,False,D
gemma4_e4b,MQ_0990,0.6644,True,True,False,A
gemma4_e4b,MQ_0110,0.6729,False,False,False,D
gemma4_e4b,MQ_0194,0.6729,False,False,True,C
gemma4_e4b,MQ_0301,0.6729,False,False,True,B
gemma4_e4b,MQ_0403,0.6729,True,False,False,B
gemma4_e4b,MQ_0419,0.6729,False,True,False,B
gemma4_e4b,MQ_0432,0.6729,False,True,False,A
gemma4_e4b,MQ_0667,0.6729,True,False,False,C
gemma4_e4b,MQ_0726,0.6729,False,False,True,A
gemma4_e4b,MQ_0750,0.6729,False,False,False,D
gemma4_e4b,MQ_0801,0.6729,True,False,False,B
gemma4_e4b,MQ_0810,0.6729,False,True,False,A
gemma4_e4b,MQ_0845,0.6729,True,False,False,C
gemma4_e4b,MQ_0002,0.6935,True,False,False,C
gemma4_e4b,MQ_0028,0.6935,False,True,False,D
gemma4_e4b,MQ_0576,0.6935,False,False,True,D
gemma4_e4b,MQ_0795,0.6935,False,False,True,D
gemma4_e4b,MQ_0893,0.6935,True,False,False,C
gemma4_e4b,MQ_0903,0.6935,True,False,False,D
gemma4_e4b,MQ_0953,0.6935,True,False,False,C
gemma4_e4b,MQ_0011,0.757,True,False,True,C
gemma4_e4b,MQ_0022,0.757,False,False,False,B
gemma4_e4b,MQ_0055,0.757,True,True,False,A
gemma4_e4b,MQ_0066,0.757,True,False,True,C
gemma4_e4b,MQ_0086,0.757,False,False,False,B
gemma4_e4b,MQ_0088,0.757,True,False,False,C
gemma4_e4b,MQ_0107,0.757,False,False,False,B
gemma4_e4b,MQ_0112,0.757,False,True,False,C
gemma4_e4b,MQ_0118,0.757,False,False,False,D
gemma4_e4b,MQ_0143,0.757,True,False,False,C
gemma4_e4b,MQ_0165,0.757,False,False,False,D
gemma4_e4b,MQ_0168,0.757,False,False,True,C
gemma4_e4b,MQ_0188,0.757,True,False,True,A
gemma4_e4b,MQ_0196,0.757,True,False,False,A
gemma4_e4b,MQ_0245,0.757,False,False,False,D
gemma4_e4b,MQ_0252,0.757,False,False,False,D
gemma4_e4b,MQ_0253,0.757,True,True,False,C
gemma4_e4b,MQ_0285,0.757,True,True,False,C
gemma4_e4b,MQ_0289,0.757,True,True,False,C
gemma4_e4b,MQ_0292,0.757,True,False,False,C
gemma4_e4b,MQ_0314,0.757,False,True,True,C
gemma4_e4b,MQ_0348,0.757,False,False,False,D
gemma4_e4b,MQ_0364,0.757,True,False,True,A
gemma4_e4b,MQ_0369,0.757,False,True,True,A
gemma4_e4b,MQ_0379,0.757,False,False,False,D
gemma4_e4b,MQ_0404,0.757,False,False,False,B
gemma4_e4b,MQ_0406,0.757,True,True,False,C
gemma4_e4b,MQ_0415,0.757,True,False,True,C
gemma4_e4b,MQ_0416,0.757,False,True,True,C
gemma4_e4b,MQ_0422,0.757,True,False,False,C
gemma4_e4b,MQ_0438,0.757,True,True,False,A
gemma4_e4b,MQ_0455,0.757,False,True,True,C
gemma4_e4b,MQ_0460,0.757,True,False,False,A
gemma4_e4b,MQ_0484,0.757,True,False,False,A
gemma4_e4b,MQ_0510,0.757,True,False,True,C
gemma4_e4b,MQ_0516,0.757,True,False,False,C
gemma4_e4b,MQ_0528,0.757,True,False,False,C
gemma4_e4b,MQ_0543,0.757,True,False,True,C
gemma4_e4b,MQ_0557,0.757,False,True,False,A
gemma4_e4b,MQ_0569,0.757,True,False,True,A
gemma4_e4b,MQ_0575,0.757,True,False,False,A
gemma4_e4b,MQ_0582,0.757,False,True,True,A
gemma4_e4b,MQ_0585,0.757,False,True,False,C
gemma4_e4b,MQ_0594,0.757,True,False,False,C
gemma4_e4b,MQ_0645,0.757,False,False,True,A
gemma4_e4b,MQ_0662,0.757,True,False,True,C
gemma4_e4b,MQ_0669,0.757,False,True,False,A
gemma4_e4b,MQ_0673,0.757,True,False,True,C
gemma4_e4b,MQ_0694,0.757,True,True,False,C
gemma4_e4b,MQ_0696,0.757,False,False,True,C
gemma4_e4b,MQ_0709,0.757,True,True,False,C
gemma4_e4b,MQ_0710,0.757,False,False,False,D
gemma4_e4b,MQ_0714,0.757,True,False,True,A
gemma4_e4b,MQ_0736,0.757,False,True,False,C
gemma4_e4b,MQ_0760,0.757,True,False,False,A
gemma4_e4b,MQ_0771,0.757,True,False,True,C
gemma4_e4b,MQ_0782,0.757,False,False,False,B
gemma4_e4b,MQ_0789,0.757,True,True,False,A
gemma4_e4b,MQ_0798,0.757,True,False,False,C
gemma4_e4b,MQ_0854,0.757,True,False,True,C
gemma4_e4b,MQ_0856,0.757,True,True,False,A
gemma4_e4b,MQ_0860,0.757,False,True,True,C
gemma4_e4b,MQ_0867,0.757,True,False,False,A
gemma4_e4b,MQ_0875,0.757,False,True,True,C
gemma4_e4b,MQ_0879,0.757,True,False,False,A
gemma4_e4b,MQ_0895,0.757,True,True,False,C
gemma4_e4b,MQ_0897,0.757,True,False,True,C
gemma4_e4b,MQ_0900,0.757,False,False,False,D
gemma4_e4b,MQ_0907,0.757,True,True,False,C
gemma4_e4b,MQ_0932,0.757,True,False,True,A
gemma4_e4b,MQ_0938,0.757,True,False,True,A
gemma4_e4b,MQ_0944,0.757,True,True,False,C
gemma4_e4b,MQ_0946,0.757,False,False,False,D
gemma4_e4b,MQ_0954,0.757,True,False,False,C
gemma4_e4b,MQ_0972,0.757,True,True,False,C
gemma4_e4b,MQ_0976,0.757,False,True,False,A
gemma4_e4b,MQ_0978,0.757,False,True,True,C
gemma4_e4b,MQ_0989,0.757,True,False,False,C
gemma4_e4b,MQ_0993,0.757,True,True,False,A
gemma4_e4b,MQ_0005,0.7571,True,True,False,A
gemma4_e4b,MQ_0027,0.7571,True,False,True,B
gemma4_e4b,MQ_0056,0.7571,False,False,True,A
